CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
252,-5.67218,8.21138,637.00815,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,155,Fronan,Sous-préfecture,Sub-prefecture,,,44.53979
721,-3.32607,5.18737,135.60401,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,72,Bonoua,Sous-préfecture,Sub-prefecture,,,0.866
721,-3.32607,5.18737,135.60401,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,138,Adiake,Sous-préfecture,Sub-prefecture,,,134.73801
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,66,Tiebissou,Sous-préfecture,Sub-prefecture,,,167.71297
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,102,Bocanda,Sous-préfecture,Sub-prefecture,,,11.19675
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,103,Dimbokro,Sous-préfecture,Sub-prefecture,,,516.06404
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,63,Toumodi,Sous-préfecture,Sub-prefecture,,,3.25734
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,64,Didievi,Sous-préfecture,Sub-prefecture,,,98.64379
449,-6.46946,7.05772,234.37031,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,55,Bediala,Sous-préfecture,Sub-prefecture,,,37.33919
449,-6.46946,7.05772,234.37031,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,194.78895
449,-6.46946,7.05772,234.37031,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,57,Gboguhe,Sous-préfecture,Sub-prefecture,,,2.24217
925,-4.0121,5.409,0.89449,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.89449
631,-6.42427,9.87601,266.64705,57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,108,Gbon,Sous-préfecture,Sub-prefecture,,,21.43024
631,-6.42427,9.87601,266.64705,57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,109,Kassere,Sous-préfecture,Sub-prefecture,,,75.90639
631,-6.42427,9.87601,266.64705,57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,111,Kouto,Sous-préfecture,Sub-prefecture,,,169.31042
1186,-8.1973,6.91842,166.75166,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,11,Danané,44,Zouan-Hounien,Sous-préfecture,Sub-prefecture,,,166.75166
439,-2.96027,5.14334,78.27153,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,141,Tiapoum,Sous-préfecture,Sub-prefecture,,,78.27153
671,-5.27738,6.96619,118.67029,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,118.67029
113,-3.94572,6.66989,458.02243,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,4,Akoupe,Sous-préfecture,Sub-prefecture,,,27.10855
